Date,Network Access technology,Plan,Number of subscriptions
1/7/2004,2G,pre-paid,1137000
1/7/2004,2G,post-paid,2553900
1/8/2004,2G,pre-paid,1151300
1/8/2004,2G,post-paid,2565300
1/9/2004,2G,pre-paid,1170900
1/9/2004,2G,post-paid,2570900
1/10/2004,2G,pre-paid,1182100
1/10/2004,2G,post-paid,2575200
1/11/2004,2G,pre-paid,1213700
1/11/2004,2G,post-paid,2585100
1/12/2004,2G,pre-paid,1246900
1/12/2004,2G,post-paid,2613800
1/1/2005,2G,pre-paid,1271100
1/1/2005,2G,post-paid,2628600
1/2/2005,2G,pre-paid,1296500
1/2/2005,2G,post-paid,2638900
1/3/2005,2G,pre-paid,1341900
1/3/2005,2G,post-paid,2648800
1/4/2005,2G,pre-paid,1362400
1/4/2005,2G,post-paid,2648500
1/5/2005,2G,pre-paid,1383000
1/5/2005,2G,post-paid,2644900
1/5/2005,3G,pre and post paid,21600
1/6/2005,2G,pre-paid,1405300
1/6/2005,2G,post-paid,2644400
1/6/2005,3G,pre and post paid,28700
1/7/2005,2G,pre-paid,1453200
1/7/2005,2G,post-paid,2645000
1/7/2005,3G,pre and post paid,37500
1/8/2005,2G,pre-paid,1467300
1/8/2005,2G,post-paid,2646300
1/8/2005,3G,pre and post paid,47700
1/9/2005,2G,pre-paid,1483600
1/9/2005,2G,post-paid,2635300
1/9/2005,3G,pre and post paid,66200
1/10/2005,2G,pre-paid,1482500
1/10/2005,2G,post-paid,2613700
1/10/2005,3G,pre and post paid,96900
1/11/2005,2G,pre-paid,1469100
1/11/2005,2G,post-paid,2586700
1/11/2005,3G,pre and post paid,129300
1/12/2005,2G,pre-paid,1516900
1/12/2005,2G,post-paid,2565100
1/12/2005,3G,pre and post paid,174800
1/1/2006,2G,pre-paid,1557000
1/1/2006,2G,post-paid,2533200
1/1/2006,3G,pre and post paid,220500
1/2/2006,2G,pre-paid,1573300
1/2/2006,2G,post-paid,2495600
1/2/2006,3G,pre and post paid,271700
1/3/2006,2G,pre-paid,1609700
1/3/2006,2G,post-paid,2457400
1/3/2006,3G,pre and post paid,317600
1/4/2006,2G,pre-paid,1629700
1/4/2006,2G,post-paid,2417500
1/4/2006,3G,pre and post paid,367600
1/5/2006,2G,pre-paid,1521800
1/5/2006,2G,post-paid,2370800
1/5/2006,3G,pre and post paid,429600
